code,class,name,source_url,retrieved_at
D-,2,Platform,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
E-,2,slow thin Platform,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
F-,2,Archean (Antarctica),https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
G1,2,early Archean,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
G2,2,late Archean,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
H1,2,early/mid Proterozoic,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
H2,2,early/mid Proterozoic (Antarctica slow),https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
I1,2,late Proterozoic,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
I2,2,slow late Proterozoic,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
J-,1,island arc,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
K-,1,forearc,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
L1,2,continental arc,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
L2,2,slow continental arc,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
M-,2,extended crust,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
N-,2,fast extended crust (Antarctica),https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
O-,2,Orogen thick upper crust thin lower crust,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
P-,2,orogen thick upper crust very thin lower crust,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
Q-,2,orogen thick upper crust fast middle crust,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
R1,2,orogen with slow lower crust (Andes),https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
R2,2,slow orogen (Himalaya),https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
T-,1,Margin-continent/shield transition,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
U-,1,slow Margin/Shield (Antarctica),https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
X-,2,Rift,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
Z1,2,Phanerozoic,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
Z2,2,fast Phanerozoic,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
A1,0,normal oceanic,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
A0,0,oceans 3 Myrs and younger,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
B-,0,melt affected oceanic crust and oceanic plateaus,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
C-,1,continental shelf,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
S-,1,continental slope margin transition,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
V1,0,inactive ridge (Alpha Ridge),https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
V2,1,thinned continental crust (Red Sea),https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
W-,1,oceanic plateau with continental crust,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
Y1,1,Caspian depression,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
Y2,1,intermediate continental/oceanic crust (Black Sea),https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
Y3,0,Caspian Sea oceanic,https://igppweb.ucsd.edu/~gabi/crust1/crust1.0-addon.tar.gz,2026-07-18
